specimen,population,HdLngth/SVL,HdWdth/SVL,HdDpth/SVL,EyeNost/SVL,Gape/SVL,TrunkLgth/SVL,TrunkWdth/SVL,3rdtoehind/SVL
41256,CN,0.647941649374266,0.5584393060283024,0.456786150049886,0.36289883006255935,0.5389644783233284,0.8893421219003579,0.5157464089975975,0.2557624311475401
42464,CN,0.6256439781160498,0.5392500167906783,0.3843762600772243,0.3263952717705122,0.5278487941815089,0.869010241762703,0.5053530533072976,0.19636589616657107
42465,CN,0.6455214840956517,0.5337707443364628,0.35855359291712524,0.2960301701444348,0.5248629726935362,0.8546847703863327,0.46740850766199976,0.2311331694034566
42467,CN,0.6477490226485715,0.5660437570187491,0.4282007539470596,0.35221007044748687,0.5486187659160887,0.8783873107877777,0.5134402622634094,0.2921208737628405
42468,CN,0.6053876643061415,0.5219322094282249,0.3701493502686199,0.2943962664364503,0.5123394734579123,0.8671785217965842,0.4650006731140006,0.17077755742435158
42470,CN,0.6232495522850757,0.5395963922278343,0.38169964493219294,0.2924102764669331,0.5230487340990687,0.8805932575234174,0.4765710041275165,0.22882731130366857
42472,CN,0.6265924166339265,0.5674173634394463,0.42756049508111643,0.34604674418724646,0.5549720842351743,0.8970618626774252,0.5103736434061469,0.2956438946900683
42473,CN,0.6254694092264838,0.5604599033536709,0.41055423737754765,0.34762139120846813,0.5444320411238038,0.890441595905805,0.5078539874210547,0.2403979781984467
42474,CN,0.6060756503403489,0.5075352680982266,0.3675384189403299,0.25308213328874757,0.4958072022067624,0.8790847951979835,0.4573211901823041,0.16227024992757844
42475,CN,0.6130050056805215,0.504118943971551,0.3658905784182897,0.27338807261308,0.5004219037394072,0.8741312469016043,0.44613607197943067,0.19563305937797498
42477,CN,0.629866866360925,0.5333649378766351,0.3595110828947831,0.28547090811836423,0.5257523230296702,0.8694636811748869,0.4766600227059758,0.19588937441925866
42478,CN,0.6423249717395632,0.5312538932188303,0.39298389621534063,0.3102151468915131,0.5242024468216337,0.8762962933986546,0.48888229904659025,0.1973557879638136
42479,CN,0.6220058783814797,0.5323594359646727,0.36441907806394297,0.3013398962437371,0.5251777699580565,0.8681591513689842,0.4414864487805824,0.19674943366852804
42481,CN,0.6226149495289697,0.5418369429499195,0.37706776496327793,0.3233998921875451,0.5375422550549849,0.8630450969278118,0.4721374303220226,0.18795575563784914
42483,CN,0.6428108772633295,0.5565570442640939,0.41569291417772514,0.33158025051413326,0.5486469807723735,0.8863860855285324,0.5015061796145983,0.22985156859114533
42484,CN,0.6406625215926233,0.5501015743745338,0.4122245038792138,0.3248056508326653,0.5324737412464331,0.8698302773323248,0.5028619528218007,0.2217065250302591
42485,CN,0.6427891016580339,0.5499749040412935,0.3973679339011033,0.3254061685544388,0.5375279005560497,0.8688248393362105,0.4828786254127776,0.22235476934444473
42486,CN,0.6280435545511729,0.5470629498590406,0.39498349233911195,0.286189420894795,0.5385734793964853,0.8729202421916804,0.4848233992132699,0.23357542188845384
42487,CN,0.635037193336558,0.5339753349567687,0.3713723949416833,0.30691715837535233,0.5275044161571468,0.8666186803935907,0.45681904835360454,0.21774767587203775
42488,CN,0.6313863302374036,0.5409815714349046,0.3865859543536951,0.3098335153450117,0.5253078229680974,0.8740265803724384,0.46645478775029386,0.22074885684859774
42489,CN,0.6213668623012254,0.541376899306205,0.39957525771404934,0.32345574042928854,0.5296442106321773,0.8625803855994018,0.46821509208194356,0.2237842586413672
42490,CN,0.6169792927291478,0.5278678190802225,0.37725122710990155,0.3059136014343023,0.5167225087487792,0.8792511775249051,0.4566557553169724,0.22520884589423515
42491,CN,0.6495786966606453,0.5508525627326558,0.39379790822222477,0.32189579076720365,0.5375052052447473,0.8780651606579221,0.4881478046600713,0.2437589279499159
42492,CN,0.642591112202319,0.5430874418789271,0.4097277424457149,0.3145160283111445,0.5204119338882524,0.8723818246503068,0.4876441294248919,0.22336519006776828
42493,CN,0.6535902068132103,0.544598197474338,0.36890906271862267,0.31227884114910204,0.5389539977563168,0.8677329336296326,0.49027668560492527,0.2112610103462148
42494,CN,0.6254182181154769,0.5396109570081146,0.3704259006997901,0.30665044926733936,0.531771796054558,0.8792307878635605,0.4484257021753803,0.23042892411776492
42495,CN,0.6241290038651854,0.5346898423834237,0.38477401487655366,0.33915461790000534,0.5154894628566368,0.8656201504543714,0.491562743305844,0.21104932450199868
42496,CN,0.62026139099644,0.5208981712200295,0.3447467879728274,0.26905850170652257,0.512614976304274,0.8730004630222418,0.47138494537575193,0.21345308903329746
42499,CN,0.6241141190318432,0.5422848842937464,0.3689016377162466,0.2870048568265001,0.5336946188127907,0.8653962549471478,0.5025459680547024,0.20575005840351185
42500,CN,0.6225069153180055,0.5357697730799243,0.389329708826546,0.2985164631198046,0.5282424057841556,0.8763247271524089,0.4859667605099953,0.22671843278415169
42501,CN,0.6219951737693517,0.516972553951573,0.36109566320618947,0.26474708773842537,0.5140211485793115,0.8588820590951843,0.4493407290078677,0.23140786012757802
42502,CN,0.6341741349833405,0.5497589482848274,0.4111835484944569,0.35972678795004265,0.5396541035625503,0.8798562079326351,0.47866024716419364,0.21977855057854456
42503,CN,0.6378171857205104,0.5661415295941922,0.40289659754806945,0.33243151458172315,0.5522563759392823,0.8679347699920555,0.49974853741317815,0.25767482540427045
42505,CN,0.6264616699583941,0.5202159746666751,0.3693747093860166,0.26122658425850226,0.5096842158150307,0.8665942918206104,0.45214991828417256,0.2242236649540884
42506,CN,0.6441033483490267,0.5667349046642143,0.4084232401045985,0.3098015490428574,0.5609830352437035,0.8701664831928774,0.5229517335642822,0.24500260823845177
42508,CN,0.635054853750184,0.5387384179215755,0.39335692317776216,0.309875951484218,0.5305383121852465,0.8796073101971346,0.4561454601971923,0.2514996971960195
42509,CN,0.6289672642369993,0.5671453942844756,0.4122794913652869,0.3513550598390409,0.5526402937009707,0.894261020143218,0.5232275597043646,0.2863566025789818
42510,CN,0.6319662261256476,0.541352832749804,0.37219066796329925,0.3149046376914019,0.5307597585991741,0.8757595971296772,0.46547701141651465,0.18418056892075418
42511,CN,0.6297953199477266,0.5360058162042488,0.38323824491807834,0.3093943860085973,0.5186105504059171,0.8612624623750647,0.4595287938819511,0.21879546851817697
40844,CS,0.6288040537650124,0.5070913785965765,0.3573265521388928,0.30710023831104705,0.48881943611491363,0.8764370558254065,0.4447609051899022,0.23293582689078507
40845,CS,0.6219619978139146,0.5371880558877877,0.3862464251681074,0.30204106918371043,0.5129180365118332,0.851716675440716,0.4486313991267891,0.2219888030058118
40846,CS,0.6030409670962459,0.5021406562805013,0.36967539884436257,0.2493773098852685,0.47908421271960405,0.8682447658950129,0.4526639777925971,0.23715676284139098
40847,CS,0.613472676315572,0.521749833528993,0.359198554895925,0.3403505901088993,0.5113955828943662,0.8894929618730918,0.4940160294960746,0.2683050226529119
41053,CS,0.6226758129409407,0.519957900298649,0.384264942801538,0.28721438931807336,0.5041166330000951,0.8507121431905131,0.4349288366628654,0.22991149835268954
41129,CS,0.6139675030108643,0.5249892454495239,0.4050954213573663,0.30148502577199,0.4947445069502675,0.8581211679987798,0.47305454491474763,0.18921835480345647
41152,CS,0.6299176237222716,0.5109639045637386,0.34302067379026746,0.2376175677946054,0.5121185713669851,0.8578613270150383,0.42391515310598854,0.23851528292627353
41153,CS,0.6073540801503831,0.5135285630914272,0.3817256242324587,0.2872322792999255,0.515781279398589,0.8667433495589864,0.4806081126542141,0.25150573381000146
41154,CS,0.6302162897790691,0.5254025949262667,0.3769283176498207,0.32034863540995084,0.5076188029271541,0.8632382615707872,0.4736958719282964,0.2545766690948319
41165,CS,0.6429437397776806,0.5363319033725329,0.3906247198781846,0.30816912243716027,0.5166215619456812,0.8712144061523419,0.5181289449658165,0.25776529756612643
41166,CS,0.6374212935846268,0.5250631368985447,0.39436129375015316,0.29397627890281686,0.5034376615640366,0.8659141252141321,0.4975646702940261,0.2838296086095448
41221,CS,0.6223085140350697,0.5262470653179073,0.3592495487879277,0.30917549291075275,0.5088461445854452,0.8732942799027712,0.45422699715221243,0.26115785797595764
41228,CS,0.6122709158184957,0.508823395810117,0.3563098293802833,0.29725397239314116,0.4876746551804681,0.8635886610914355,0.44260976831246174,0.23365581308562744
41230,CS,0.6203592245613129,0.5246308032146129,0.39351966808473343,0.32381434281414595,0.4939313136387533,0.84734359912643,0.4859490996442477,0.23454997038794245
41231,CS,0.6250109649153812,0.5332662931557922,0.4169306822725176,0.30661870090607435,0.5095443831622076,0.8639499127673232,0.49146808258919866,0.2540609124166859
42116,CS,0.6182380205825504,0.5370591202798277,0.39432975429515715,0.3140683906532239,0.5192742331795244,0.8704975432499713,0.4964250970218359,0.2416364316283062
42117,CS,0.6193374192492564,0.525621143083604,0.3852433064248713,0.26239962238377773,0.5065399048953529,0.8772566039462213,0.4995067860633571,0.22175418643037673
42118,CS,0.6278781499452792,0.5346442802136753,0.42655400380946445,0.31160108637058387,0.5108644710369762,0.8782102972205532,0.5228921878656957,0.25073579233867005
42119,CS,0.6148700125799706,0.5324033908913777,0.37276381880704756,0.26349427013083476,0.5254172362300956,0.8660592991785065,0.4799936528383426,0.2554284940092614
