specimen,population,SVL,HdLngth,HdWdth,HdDpth,EyeNost,Gape,TrunkLgth,TrunkWdth,3rdtoehind,site,elevation,long.deg,long.mins,lat.deg,lat.mins
42236,CS,68.32,12.655,8.525,4.615,2.95,8.05,41.51,6.7,2.615,cullowhee gap,3600,83,14,35,14
42270,CS,75.28,16.095,10.085,4.645,3.295,9.63,42.495,7.58,2.545,buck cr.,4200,83,12,35,8
42271,CS,75.39,15.43,9.375,4.93,3.72,8.79,42.88,6.485,2.87,buck cr.,4200,83,12,35,8
42272,CS,68.895,14.145,9.285,5.12,3.475,8.99,39.125,7.015,2.34,buck cr.,4200,83,12,35,8
42273,CS,78.315,14.24,9.455,4.88,3.725,8.775,43.895,7.125,2.86,buck cr.,4200,83,12,35,8
42274,CS,80.225,16.27,10.77,5.795,4.515,9.795,45.925,8.3,3.385,buck cr.,4200,83,12,35,8
42294,CS,66.375,13.305,8.785,4.425,3.65,8.11,37.785,6.5,3.095,buck cr.,4200,83,12,35,8
42295,CS,66.935,14.335,8.625,4.695,3.835,8.015,38.705,7.89,2.835,buck cr.,4200,83,12,35,8
41200,CS,79.765,15.465,10.28,5.395,4.025,9.25,48.355,8.415,2.05,long branch cr.,2400,83,12,35,17
41201,CS,84.165,16.815,11.68,5.985,3.365,10.655,49.025,10.695,2.545,long branch cr.,2400,83,12,35,17
41213,CS,78.85,15.315,9.765,5.48,3.37,8.7,44.36,8.34,2.82,cullowhee valley,2400,83,12,35,17
41214,CS,90.48,16.695,10.26,5.635,3.875,9.68,51.355,8.4,3.335,cullowhee valley,2400,83,12,35,17
41215,CS,91.65,17.795,11.36,5.415,4.615,10.44,54.44,9.15,3.035,cullowhee valley,2400,83,12,35,17
41216,CS,73.785,14.955,9.465,5.245,3.975,8.36,42.67,7.845,2.465,cullowhee valley,2400,83,12,35,17
41219,CS,100.92,16.175,12.105,7.305,4.5,11.29,61.235,11.595,3.99,cullowhee valley,2400,83,12,35,17
